,type,studygroup,avg_accuracy,std_accuracy,avg_adaptation
194,ISTJ,"['ESFJ', 'ESFJ', 'ISTJ', 'INFP']",0.83875,0.1302581571342079,0.19625
195,INFP,"['ESFJ', 'ESFJ', 'ISTJ', 'INFP']",0.84125,0.1356177993480207,0.195
196,ESFJ,"['ESFJ', 'ESFJ', 'ISTJ', 'INFJ']",0.80875,0.1268057076791104,0.195
197,ESFJ,"['ESFJ', 'ESFJ', 'ISTJ', 'INFJ']",0.83125,0.13154728237405744,0.16875
198,ISTJ,"['ESFJ', 'ESFJ', 'ISTJ', 'INFJ']",0.81375,0.13749431806442042,0.2025
199,INFJ,"['ESFJ', 'ESFJ', 'ISTJ', 'INFJ']",0.84125,0.12972928543702075,0.175
200,ESFJ,"['ESFJ', 'ESFJ', 'ISTJ', 'ENTP']",0.83,0.13752272539475066,0.17
201,ESFJ,"['ESFJ', 'ESFJ', 'ISTJ', 'ENTP']",0.8275,0.14553779577827886,0.1925
202,ISTJ,"['ESFJ', 'ESFJ', 'ISTJ', 'ENTP']",0.79375,0.15039011769394958,0.22875
203,ENTP,"['ESFJ', 'ESFJ', 'ISTJ', 'ENTP']",0.82,0.14928998626833614,0.185
204,ESFJ,"['ESFJ', 'ESFJ', 'ISTJ', 'ENTJ']",0.81,0.14735162028291374,0.1875
205,ESFJ,"['ESFJ', 'ESFJ', 'ISTJ', 'ENTJ']",0.8175,0.1385415100249741,0.18375
206,ISTJ,"['ESFJ', 'ESFJ', 'ISTJ', 'ENTJ']",0.81625,0.14081792322002196,0.2175
207,ENTJ,"['ESFJ', 'ESFJ', 'ISTJ', 'ENTJ']",0.88625,0.10472434053265746,0.1375
208,ESFJ,"['ESFJ', 'ESFJ', 'ISTJ', 'INTP']",0.8125,0.1293010054098575,0.20125
209,ESFJ,"['ESFJ', 'ESFJ', 'ISTJ', 'INTP']",0.82,0.15443445211480503,0.17875
210,ISTJ,"['ESFJ', 'ESFJ', 'ISTJ', 'INTP']",0.84125,0.12972928543702075,0.19
211,INTP,"['ESFJ', 'ESFJ', 'ISTJ', 'INTP']",0.82625,0.12734672159109556,0.195
212,ESFJ,"['ESFJ', 'ESFJ', 'ISTJ', 'INTJ']",0.81375,0.14196720572019442,0.1925
213,ESFJ,"['ESFJ', 'ESFJ', 'ISTJ', 'INTJ']",0.815,0.1268365089396582,0.19125
214,ISTJ,"['ESFJ', 'ESFJ', 'ISTJ', 'INTJ']",0.7925,0.15126549507405845,0.2225
215,INTJ,"['ESFJ', 'ESFJ', 'ISTJ', 'INTJ']",0.885,0.10851267207105353,0.13875
216,ESFJ,"['ESFJ', 'ESFJ', 'ISTJ', 'ESFP']",0.8025,0.1501873829587559,0.20625
217,ESFJ,"['ESFJ', 'ESFJ', 'ISTJ', 'ESFP']",0.82375,0.1415262784785921,0.19375
218,ISTJ,"['ESFJ', 'ESFJ', 'ISTJ', 'ESFP']",0.81375,0.1419672057201944,0.24125
